Reference, Quantity, Value, Footprint, Datasheet, Link, MPN, ConradPN, Label, link
C101 C104 C107 C201 C302 C304 ,6,0.1μF,Capacitors_SMD:C_0805,
C102 C103 ,2,20pF,Capacitors_SMD:C_0805,
C105 C108 ,2,1μF,Capacitors_SMD:C_1206,
C106 C109 ,2,10μF,Capacitors_SMD:C_1206,
C301 ,1,0.01μF,Capacitors_SMD:C_0805,
C303 ,1,4.7μF,Capacitors_SMD:C_0805,
C305 C306 ,2,10μF,Capacitors_SMD:C_1210,
D301 D302 ,2,D_Schottky,Diodes_SMD:SMA_Standard,
D303 ,1,Tx LED,LEDs:LED-0805,
D304 ,1,Rx LED,LEDs:LED-0805,
L101 ,1,INDUCTOR,Inductors_NEOSID:Neosid_Inductor_SM1206,
L301 ,1,FERRITE,Inductors_NEOSID:Neosid_Inductor_SM1206,
P101 P102 ,2,CONN_01X10,Pin_Headers:Pin_Header_Straight_1x10,
P103 P105 ,2,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
P104 P106 ,2,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
P201 ,1,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,
P202 P203 ,2,CONN_01X04,CentralCommand:Grove-2mm,,,"Value","Value","SPI Output",
P204 ,1,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,
P301 ,1,USB-MICRO-B,CentralCommand:USB_Micro_B,
P302 ,1,ALT PWR,Pin_Headers:Pin_Header_Straight_1x02,
R201 R202 R203 R204 R206 R207 R208 R209 R301 R302 R303 ,11,0Ω,Resistors_SMD:R_0805,
R304 R305 ,2,NOPE,Resistors_SMD:R_0805,
R306 R307 ,2,270Ω,Resistors_SMD:R_0805,
SW201 ,1,TL3315NF160Q,CentralCommand:PTS525SM15SMTR2LFS,
U101 ,1,STM32F030C8,Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm,
U301 ,1,FT232RQ,Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm,http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf
U302 ,1,MCP1700T-3302E,TO_SOT_Packages_SMD:SOT-23,,,,,,"http://parts.io/detail/1370896/MCP1700T-3302E%2FTT"
Y101 ,1,Crystal,Crystals:Crystal_HC49-U_Vertical,,"http://parts.io/detail/343558/FOXSLF%2F080-20",,,,
